Generic Name,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota,MAL_Brands
"Insulin Recombinant Synthetic Human, Intermediate-Acting 100 IU/ml Penfill and Refill",Alimentary Tract and Metabolism > Drugs Used In Diabetes,A10AC01000P5001XX,Yes,Government Contract,B,"Insulin dependent diabetes mellitus, non insulin dependent diabetes unresponsive to treatment to diet or oral hypoglycaemics, hyperkalaemia to assure proper utilisation of glucose and reduce glucosuria in non diabetic patients receiving parenteral nutrition",INSULATARD IS RESERVED FOR PATIENT WHO CANNOT TOLERATE INSUGEN N/ DIABULYN N,Dose to be individualised. The daily insulin requirement is usually between 0.3 and 1.0IU/kg /day,Rare incidence of allergy and lipoatrophy,"Hypoglyacemia, insulinoma","MAOIs, alcohol, corticosteroid, oral contraceptives, beta-blocker, thyroid hormone, diuretic","Psychic stress, infection, pregnancy",FALSE,
"Insulin Recombinant Synthetic Human, Premixed 100 IU/ml Penfill and Refill",Alimentary Tract and Metabolism > Drugs Used In Diabetes,A10AD01000P5001XX,No,Government Contract,B,"Insulin dependent diabetes mellitus, non insulin dependent diabetes unresponsive to treatment to diet or oral hypoglycaemics, hyperkalaemia to assure proper utilisation of glucose and reduce glucosuria in non diabetic patients receiving parenteral nutrition",MIXTARD IS RESERVED FOR PATIENT WHO CANNOT TOLERATE INSUGEN 30/70/ DIABULYN 30/70,Dose to be individualised. The average daily insulin requirement is between 0.5-1.0 units/kg body weight,Rare incidence of allergy and lipoatrophy,"Hypoglyacemia, insulinoma","MAOIs, alcohol, corticosteroid, oral contraceptives, beta- blocker, thyroid hormone, diuretic","Psychic stress, infection, pregnancy",FALSE,
Ipratropium Bromide 0.5mg and Salbutamol 2.5mg per UDV,Respiratory System > Drugs for Obstructive Airway Diseases,R03AK04-320-A30-01-XXX,No,Government Contract,B,Management of reversible bronchospasm associated with obstructive airway diseases,,"Acute attacks : 1 unit dose vial. In severe cases not relieved by 1 unit dose vial, 2 unit dose vials may require. Maintenance : 1 unit dose vial 3 - 4 times daily","Headache, dizziness, nervousness, tachycardia, fine tremor, palpitations. Potentially serious hypokalaemia may result from beta2-agonist therapy, dryness of mouth, dysphonia, ocular complications, allergic type reactions",Hypersensitivity to atropine or its derivatives or to any other component. Hypertrophic obstructive cardiomyopathy or tachyarrythmia,"Xanthine derivatives, other anticholinergics, beta2-agonists, beta-blockers, tricyclic anti depressants, MAOIs, glucocorticoids - increased risk of tachycardia, agitation, hypomania, hypokalaemia","Patients predisposed to glaucoma, insufficiently controlled diabetes mellitus, recent myocardial infarction, severe organic heart or vascular disorders, hyperthyroidism, phaechromocytoma, risk of narrow-angle glaucoma, prostatic hypertrophy or bladder-neck obstruction, hypoxia, cystic fibrosis, pregnancy and lactation, uriticaria, angioedema, rash, broncospasm, oropharyngeal oedema",FALSE,
Ipratropium Bromide 20mcg and Fenoterol 50mcg/dose Inhaler,Respiratory System > Drugs for Obstructive Airway Diseases,R03AK03-986-A21-01-XXX,No,Government Contract,B,Management of symptoms in chronic obstructive airway disorders with reversible bronchospasm such as bronchial asthma and chronic bronchitis with or without emphysema,,"ADULT & CHILD more than 6 years; Acute asthma 2 puffs. Severe cases: if breathing has not noticeably improved after 5 mins, 2 further puffs may be taken. Intermittent and long-term treatment 1-2 puffs for each administration, up to max 8 puffs/day (average: 1-2 puffs three times daily)","Fine tremor of skeletal muscles, nervousness, dry mouth, headache, dizziness, tachycardia and palpitations, hypokalaemia, cough, nausea, vomiting, sweating, weakness, myalgia/muscle cramps","Hypertrophic obstructive cardiomyopathy, tachyarrhythmias. Hypersensitivity to atropine-like substances & sympathomimetic amines","Other beta-adrenergics and anticholinergics, xanthine derivatives, steroids, diuretics, digoxin, MAOI, tricyclic antidepressants, halogenated hydrocarbon anaesthesia","Insufficiently controlled Diabetes Mellitus, recent Myocardial Infarction, severe organic heart or vascular disorders or patients with undelying severe heart disease hyperthyroidism, phaeochromocytoma, prostatic hypertrophy, bladder-neck obstruction, cystic fibrosis, predisposition to narrow-angle glaucoma. Pregnancy, lactation",FALSE,
Iron (III)-hydroxide polymaltose complex (IPC) 100mg iron and 0.35mg folic acid chewable tablet,Blood and Blood Forming Organs > Antianemic Preparations,B03AD04-250-T20-01-XXX,No,Government Contract,A/KK,Treatment of iron deficiency without anaemia and iron deficiency anaemia,"10 PT (KKKEBUN, KKKD), 
20 PT (KKS, KKTS), 
25 PT (KKTPG, KKBC), 
40 PT (KKJ, KKTD, KKB) (KUOTA)",Dosage and duration of therapy are dependent upon the extent of iron deficiency. Manifest iron deficiency: 1 chewable tablet two to three times daily until a normalization of the hemoglobin value is achieved. Afterwards the therapy should be continued with 1 chewable tablet daily at least until the end of pregnancy to replenish the iron stores. Latent iron deficiency and prevention of iron and folic acid deficiency: 1 chewable tablet daily,"Constipation, diarrhea, nausea, abdominal pain, gastric disorders, indigestion (dyspepsia), vomiting, rash (urticarial, exanthema, pruritis) A dark colouration of the stool due to iron elimination is of no clinical significance","Iron overload (e.g haemochromatosis, haemosiderosis) or disturbances in iron utilization (e.g lead anaemia, sidero-achrestic anaemia, thalassemia) and anaemia not caused by iron deficiency (e.g haemolytic anaemia). Known intolerance of any of the ingredients","Until now interactions have not been observed. Since the iron is complex-bound, ionic interactions with food components (phytin, oxalates, tannin etc) and concomitant administration of medicaments (tetracyclines, antacids) are unlikely to occur. The haemoccult test (selective for Hb) for the detection of occult blood is not impaired and therefore there is no need to interrupt iron therapy","Notice to diabetics: 0.03 bread units per chewable tablets. In cases of anaemia due to infections or malignancy, the substituted iron is stored in the reticulo-endothelial system, from which it is mobilized and utilized only after curing the primary disease.",TRUE,
Iron Dextran 50mg Fe/ml Injection,Blood and Blood Forming Organs > Antianemic Preparations,B03AC06000P3001XX,No,APPL,B,Severe iron deficiency anaemia,,"An initial test dose of 0.5 ml should be given over the desired route. For severe iron deficiency anaemia, 1-2 ml daily given by deep IM. Dosage is individualized according to total iron deficit","Adverse effects may be delayed 24-48 hr after IV admin or 3-4 days after IM admin. Flushing, dizziness, fever, chills, nausea, headache, diaphoresis. Chest pain or tightness, shock, MI, hypertension, tachycardia, bradycardia and arrhythmias. Local reactions, pain and staining may occur at the site of inj after IM inj.",Anaemia that are not due to iron deficiency; haemochromatosis; haemolytic anemia. Severe liver damage or acute kidney infection. Lactation.,ACE inhibitors may increase potential anaphylatic reactions. Parenteral chromphenicol may delay response of anaemia to iron therapy. Bone scans performed with pertechnetate-labelled disphosphonates have shown dense areas of increased activity after intramuscular injection,"History of allergies or asthma. Pre-existing CV disease, hepatic impairment. May worsen rheumatoid arthritis. Not recommended in children <4 mth. Admin of oral iron salts should be ceased before giving parenteral iron. Rapid IV admin may cause vascular flushing and hypotension. Pregnancy.",FALSE,
Isoniazid 100 mg Tablet,Antiinfectives for Systemic Use > Antimycobacterials,J04AC01-000-T10-01-XXX,Yes,APPL,B,i) Tuberculosis ii)Tuberculous meningitis,,i) & ii) ADULT 5-8mg/kg daily (Max 300mg) or 15-20mg/kg biweekly (max 1200mg),"Peripheral neuropathy and hepatotoxicity, psychiatric sign or symptom, agranulocytosis, anaemia, megaloblastic anaemia, thrombocytopenia, systemic lupus erythematosus, seizure","Acute liver disease, hypersensitivity to isoniazid","Inhibits metabolism of antiepileptics (carbamazepine, ethosuximide and phenytoin) and diazepam, reduced plasma concentration of ketoconazole and increased theophylline plasma concentration","Increased risk of hepatitis in severe renal dysfunction, chronic liver disease, daily users of alcohol, increased risk of fatal hepatitis in females",FALSE,
Isoniazid 400 mg Tablet,Antiinfectives for Systemic Use > Antimycobacterials,J04AC01-000-T10-02-XXX,Yes,APPL,B,i) Tuberculosis ii)Tuberculous meningitis,,i) & ii) ADULT 5-8mg/kg daily (Max 300mg) or 15-20mg/kg biweekly (max 1200mg),"Peripheral neuropathy and hepatotoxicity, psychiatric sign or symptom, agranulocytosis, anaemia, megaloblastic anaemia, thrombocytopenia, systemic lupus erythematosus, seizure","Epileptic and patients with chronic alcoholism or impaired liver or kidney function, hypersensitivity to isoniazid","Inhibits metabolism of antiepileptics (carbamazepine, ethosuximide and phenytoin) and diazepam, reduced plasma concentration of ketoconazole and increased theophylline plasma concentration","Increased risk of hepatitis in severe renal dysfunction, chronic liver disease, daily users of alcohol, increased risk of fatal hepatitis in females",FALSE,
Isosorbide Dinitrate 10mg Tablet,Cardiovascular System > Cardiac Therapy,C01DA08-221-T10-01-XXX,Yes,APPL,B,Prophylaxis and treatment for: i) Angina ii) Left ventricular failure,,"i) 30 - 120 mg daily in divided doses ii) 40 - 160 mg, up to 240 mg if required","GI disturbances, headache, hypotension, tachycardia","Hypersensitivity to organic nitrates, anaemia, symptomatic hypotension","Hypotensive effects may be enhanced by alcohol, beta-blocker, calcium channel blocker, antihypertensive, sildenafil, tricyclic antidepressant","Acute myocardial infarction,cerebral hemorrhage,congestive heart failure, glaucoma, hyperthyroidism,hypertrophic, cardiomyopathy, hypotension,methemoglobinemia, recent head trauma, severe anemia, volume depletion",FALSE,
Itraconazole 100 mg Capsule,Antiinfectives for Systemic Use > Antimycotics for Systemic Use,J02AC02-000-C10-01-CXX,Yes,LP,A/KK,i) Dermatomycosis including pityriasis versicolor ii) Oral candidiasis iii) Palmar tinea manus and plantar tinea pedis iv) Fingernail onychomycosis v) Toenail onychomycosis vi) Vulvovaginal candidiasis,,i) 200 mg once daily for 7 days ii) 100 mg daily for 15 days iii) 200 mg twice daily for 7 days iv) 200mg twice daily for 1 week per month for 2 months v) 200 mg twice daily for 1 week per month for 3 months vi)200 mg morning and evening for 1 day or 200 mg once daily for 3 days,"Rash, hypokalemia, diarrhoea, nausea and vomiting, Stevens-Johnson syndrome, neutropenic disorder, hepatotoxicity, anaphylaxis",Hypersensitivity to azole antifungals; pregnancy and lactation; hepatic disease.,"Rifampicin& phenytoin reduce oral bioavailability of itraconazole. CYP3A4 metabolized substrates that can prolong the QT-interval e.g; astemizole, cisapride, quinidine, terfenadine, HMG-CoA reductase inhibiotrs, triazolam, oral midazolam, ergot alkalaoids, warfarin, digoxin, cyclosporin, oral contraceptives.","Lactation, history of liver or renal disease, children, decreased gastric acidity. Patients with risk factors for congestive heart failure such as ischaemic and valvular cardiac disease",FALSE,
Ketoprofen 2.5% Gel,Musculo-skeletal System > Topical Products for Joint and Muscular Pain,M02AA10-000-G30-01-XXX,No,LP,A/KK,"Local treatment of osteoarticular & muscular painful disorders of rheumatic or traumatic origin: Contusions, distortions, muscle strains, stiff neck, lumbago.",-,Apply onto affected areas 2-4 times daily up to 10 days.,Pruritus and localised erythema,"Hypersensitivity. Avoid in patients whom aspirin or other NSAIDs-induced asthma or other allergic-type reactions. Avoid in patient with exudative dermatoses, eczema sores & infected skin or broken skin. Do not apply to the mucous membranes or eyes.",Not known,"Bronchial asthma. Avoid in children less than 5 years. If skin rash occurs after gel application, treatment should be stopped. Severe renal impairment. Avoid direct excessive sunlight during treatment or 2 weeks following treatment discontinuation. Pregnancy and lactation.",FALSE,
Labetalol HCl 100mg Tablet,Cardiovascular System > Beta Blocking Agents,C07AG01-110-T10-01-XX,Yes,APPL,B,"i) Mild, moderate or severe hypertension ii) Hypertension in pregnancy",,i) & ii) Initial: 100mg twice daily Maintenance: 200-400mg twice daily Max. 2400mg daily in 3 or 4 divided doses Dosing is individualised and according to product insert / protocol.,"Hypotension, bradycardia, nausea, vomiting NPRA Safety Alert 1. 17 Okt 2022 Nipple pain, Raynaud's phenomenon of the nipple","Hypersensitivity to labetalol products, bradycardia, asthma/obstructive airway disease, cardiogenic shock, heart block overt cardiac failure","Alpha-1 adrenergic blockers, amiodarone, cimetidine, clonidine, digoxin, dihydropyridine, calcium channel blockers, diltiazem, enflurane, epinephrine, flunarizine, halothane, hypoglycemic agents, imipramine, isoflurane, lidoflazine, methyldopa, verapamil","Anaesthesia/surgery, including when used in cases to control bleeding (myocardial depression). Avoid abrupt withdrawal; gradual withdrawal over a period of 1 to 2 weeks is recommended. Bronchospastic disease, congestive heart failure, diabetes mellitus. The bioavailability and half-life of labetalol are increased in the elderly. In addition, the hypotensive response is greater in this age group following oral or i.v. administration. Therefore, lower doses of labetalol are likely to be required in elderly patients.",FALSE,
Lactulose 3.35g/5 ml Liquid,Alimentary Tract and Metabolism > Drugs for Constipation,A06AD11-000-L50-01-XXX,Yes,Government Contract,C+,i) Constipation ii) Hepatic encephalopathy,,"i) ADULT 15-45 ml daily in 1-2 divided doses adjusted to patient's need. Maintenance dose: 15-30ml daily in 1-2 divided doses. CHILD 0.5 ml/kg/dose once or twice daily. ii) ADULT: 30-45 ml 2-4 times daily, dose adjusted to produce 2-3 soft stools daily. CHILD: 1 ml/kg/dose 3-4 times daily.","Flatulence, cramps and abdominal discomfort","Galactosaemia, intestinal obstruction",Response may be altered by anti-infective agents,"Diabetics, patients with lactose intolerance, pregnancy, lactation",FALSE,
Levodopa 100 mg and Carbidopa 25 mg Tablet,Nervous System > Anti-parkinson Drugs,N04BA02000T1001XX,Yes,APPL,B,Parkinson's disease,,"Patients not receiving Levodopa before, initially 100 - 125 mg 3 - 4 times daily adjusted according to response. Maintenance: 0.75 - 2 g in divided doses. In patients previously treated with Levodopa the dose should be about 20 - 25% of the dose previously being taken","Central nervous system: Anxiety, confusion, nervousness, mental depression, psychotic symptoms. Anorexia, nausea and vomiting, diarrhoea, insomnia, agitation, postural hypotension, dizziness, chest pain, tachycardia, arrhythmias, reddish discoloration of urine and other body fluid. Dyskinesia, muscle twitching and blepharospasm may be taken as early signs to consider dosage reduction. Gastrointestinal bleeding, development of duodenal ulcer, dark saliva, leukopenia, hemolytic and non-hemolytic anaemia, thrombocytopenia, agranulocytosis, angioedema, urticaria, pruritus, paraesthesia, increased libido, dyspnoea, alopecia, rash, dark sweat, dark urine","Hypersensitivity to this drug. Patient on MAOIs therapy or 2 weeks prior to initiating therapy. May be administered concomitantly with or an MAOI with or selectivity for MAO type B (eg selegiline HCl). Narrow-angle glaucoma with compensated endocrine, renal or hepatic function, cardiac disorders, psychiatric diseases or closed-angle glaucoma, undiagnosed skin lesion, melanoma, pregnancy","Hypertensive crisis with MAOIs, increased hypotensive effect with antihypertensives, antagonism effect of antipsychotic, reduced absorption by iron, plasma concentration increased by metoclopramide. Linezolid, clonidine, anticholinergics, tricylic antidepressant, phenothiazines, phenytoin, papaverine, selegiline and high protein diet","Not recommended for treatment of drug-induced extrapyramidal reactions. The occurrence of dyskinesias in patients previously treated with levodopa alone may require dosage reduction. All patients should be observed carefully for the development of depression with concomitant suicidal tendencies. Cardiovascular disease or pulmonary disease, bronchial asthma. Hepatic impairment, renal impairment, endocrine disease, chronic wide-angle glaucoma. Observe carefully when the dosage is reduced abruptly or discontinued, especially if the patient is receiving neuroleptics. Pregnancy, women of childbearing potential. Not recommended in patients less than 18 years",FALSE,
"Levodopa 200 mg, Benserazide 50 mg Tablet",Nervous System > Anti-parkinson Drugs,N04BA02977T1001XX,Yes,APPL,B,Parkinson's Disease,,"Initial: 100/25 mg 1-2 times/day, increase every 3-4 days until therapeutic effect, optimal dosage: 400/100 mg to 800/200 mg/day divided into 4-6 doses. Dose: 200/50 mg used only when maintenance therapy is reached and not to exceed levodopa 1000-1200 mg/benserazide 250-300 mg per day","Anorexia, nausea and vomiting, diarrhoea, insomnia, agitation, cardiac arrhythmias, postural hypotension (rarely labile hypertension), dizziness, tachycardia, arrhythmias, reddish discoloration of urine and other body fluid, rarely hypersensitivity, abnormal involuntary movement. Lost or change of taste. Abnormal involuntary movements. Rarely, skin reactions, haemolytic anaemia, mild, transient leukopenia and thrombocytopenia. Agitation, anxiety, insomnia, hallucination, delusion and temporal disorientation in the elderly","Hypersensitivity to this drug. Patient on MAOIs therapy with decompensated endocrine, renal or hepatic function, cardiac disorders, psychiatric diseases or closed-angle glaucoma. Pregnancy. Patients less than 25 years. Lactation. Combination with MAOIs (except selegiline)","Hypertensive crisis with MAOIs, increased hypotensive effect with antihypertensives, antagonism effect of antipsychotic, reduced absorption by iron, plasma concentration increased by metoclopramide. Tricylic antidepressant, phenothiazines, phenytoin, pyridoxine. Potentiates effects of sympathomimetics. Neuroleptics, opioids, antihypertensives containing reserpine, antacid, protein-rich meal","Open-angle glaucoma, depression, diabetes, severe cardiovascular disease, bronchial asthma, renal, hepatic or endocrine disease, history of psychoses or convulsion. Lactation. Perform liver function and blood count tests during treatment. Discontinue 12-48 hours before surgery requiring general anaesthesia. If patient must undergo surgery without Madopar having been withdrawn, avoid anaesthesia with cyclopropane or halothane",FALSE,
Levodopa 250 mg and Carbidopa 25 mg Tablet,Nervous System > Anti-parkinson Drugs,N04BA02000T1002XX,Yes,APPL,B,Parkinson's disease,,"Patients not receiving Levodopa before, initially 100 - 125 mg 3 - 4 times daily adjusted according to response. Maintenance: 0.75 - 2 g in divided doses. In patients previously treated with Levodopa the dose should be about 20 - 25% of the dose previous being taken","Central nervous system: Anxiety, confusion, nervousness, mental depression, psychotic symptoms. Anorexia, nausea and vomiting, diarrhoea, insomnia, agitation, postural hypotension, dizziness, chest pain, tachycardia, arrhythmias, reddish discoloration of urine and other body fluid. Dyskinesia, muscle twitching and blepharospasm may be taken as early signs to consider dosage reduction. Gastrointestinal bleeding, development of duodenal ulcer, dark saliva, leukopenia, hemolytic and non-hemolytic anemia, thrombocytopenia, agranulocytosis, angioedema, urticaria, pruritus, paresthesia, increased libido, dyspnea, alopecia, rash, dark sweat, dark urine","Hypersensitivity to this drug. Patient on MAOIs therapy or 2 weeks prior to initiating therapy. May be administered concomitantly with or an MAOI with or selectivity for MAO type B (eg selegiline HCl). Narrow-angle glaucoma with compensated endocrine, renal or hepatic function, cardiac disorders, psychiatric diseases or closed-angle glaucoma, undiagnosed skin lesion, melanoma, pregnancy","Hypertensive crisis with MAOIs, increased hypotensive effect with antihypertensives, antagonism effect of antipsychotic, reduced absorption by iron, plasma concentration increased by metoclopramide. Linezolid, clonidine, anticholinergics, tricylic antidepressant, phenothiazines, phenytoin, papaverine, selegiline and high protein diet","Not recommended for treatment of drug-induced extrapyramidal reactions. The occurrence of dyskinesias in patients previously treated with levodopa alone may require dosage reduction. All patients should be observed carefully for the development of depression with concomitant suicidal tendencies. Cardiovascular disease or pulmonary disease, bronchial asthma. Hepatic impairment, renal impairment, endocrine disease, chronic wide-angle glaucoma. Observe carefully when the dosage is reduced abruptly or discontinued, especially if the patient is receiving neuroleptics. Pregnancy, women of childbearing potential. Not recommended in patients less than 18 years",FALSE,
Levonorgestrel 150mcg and Ethinyloestradiol 30mcg Tablet,Genito Urinary System and Sex Hormones > Sex Hormones and Modulators of the Genital System,G03AA07-954-T10-01-XXX,Yes,LP,C+,Contraception,,"1 tablet daily for 21 days from first day of the cycle, followed by 7 tab free days","Thromboembolic disease, hypertension, gall bladder disease, nausea, vomiting, migraine","Thromboembolic disorders, cardiovascular disease, breast or endometrial cancer, oestrogen dependent neoplasia, undiagnosed abnormal vaginal bleeding, cholestatic jaundice of pregnancy, hepatic adenomas or carcinomas, known or suspected pregnancy","Effectiveness may be reduced by antibiotics, phenytoin, carbamazepine, barbiturates, rifampicin","Age, smoking, gall bladder disease, diabetes, hypertension, epilepsy, migraine, cardiac or renal dysfunction, history of depression, uterine fibroids, lactation. Gastrointestinal disease (impaired absorption of oral contraceptive steroids in the small bowel due to inflammatory disease)",FALSE,
Levothyroxine Sodium 100 mcg Tablet,"Systemic Hormonal Preparations, excl. Sex Hormones and Insulins > Thyroid Therapy",H03AA01520T1001XX,Yes,APPL,B,Hypothyroidism,,"Start at low dose and increase at 2-4 weeks interval. Adult: Initially, 50-100 mcg/day may increase by 25-50 mcg at approximately 3 to 4 weeks intervals until the thyroid deficiency is corrected. Maintenance: 100-200 mcg/day. CHILD; 0 - 3 months: 10 - 15 mcg/kg/day; 3 - 6 months: 8 - 10 mcg/kg/day; 6 - 12 months: 6 - 8 mcg/kg/day; 1 - 5 years: 5 - 6 mcg/kg/day; 6 - 12 years: 4 - 5 mcg/kg/day; more than 12 years: 2 -3 mcg/kg/day","Nervousness, excitability, tremor, muscle weakness, cramps, sweating, flushing, heat intolerance, headache, insomnia, tachycardia, palpitations, angina pectoris, excessive weight loss, menstrual irregularities, diarrhoea, vomiting, convulsions, cardiac arrhythmia, heart failure, coma, myocardial infarction, osteopenia, pseudotumor cerebri, seizure","Hypersensitivity, untreated adrenal insufficiency, acute myocardial infarction, acute myocarditis, acute pancarditis.","Reduced absorption with iron, cholestyramine, colestipol, aluminium- and magnesium-containing antacids, calcium carbonate, simethicone, sucralfate. May alter requirements of antidiabetic drugs. Reduced efficacy of thyroid replacement therapy with imatinib. Reduced tri-iodothyronine serum levels with amiodarone. Reduced serum levels of thyroxine with carbamazepine, phenytoin, phenobarbital, rifampicin, oestrogens. May change hypoprothrombinaemic response to warfarin and other oral anticoagulants. Increased risk of significant hypertension and tachycardia with ketamine","Elderly, CHD, severe or long existing hypothyroidism. Coronary failure, angina pectoris, arteriosclerosis, hypertension, pituitary or adrenal insufficiency, cardiac insufficiency or tachycardic arrhythmias. Not suitable for weight reduction. Galactose intolerance, Lapp lactase deficiency, glucose-galactose malabsorption, pregnancy and lactation.",FALSE,
Levothyroxine Sodium 25 mcg Tablet,"Systemic Hormonal Preparations, excl. Sex Hormones and Insulins > Thyroid Therapy",H03AA01152T1003XX,Yes,LP,B,Hypothyroidism,,"Start at low dose and increase at 2-4 weeks interval. Usual recommended dose for i) Treatment of benign euthyroid goitre: 75-200mcg. ii) Prophylaxis of relapse after surgery for euthyroid goitre: 75-200mcg iii) Substitution therapy in hypothyroidism: ADULT Initially, 25-50mcg/day. Maintenance: 100-200mcg/day. CHILDREN Initially 12.5-50mcg/day, Maintenance: 100-150mcg/m2 body surface area iv) Concomitant supplementation during anti-thyroid drug treatment of hyperthyroidism: 50-100mcg v) Suppression therapy in thyroid cancer: 150-300mcg","Nervousness, excitability, tremor, muscle weakness, cramps; sweating, flushing, heat intolerance, headache, insomnia, tachycardia, palpitations, angina pectoris, excessive weight loss; menstrual irregularities; diarrhoea, vomiting, convulsions, cardiac arrhythmia, heart failure, coma,myocardial infarction, osteopenia, pseudotumor cerebri, seizure",Untreated hyperthyroidism; uncorrected adrenal failure; recent myocardial infarction,"Antidiabetics, coumarins, protease inhibitors, phenytoin, cholestyramine, colestipol, aluminium, iron and calcium carbonate containing drugs, salicylates, dicumarol, frusemide, clofibrate, sevelamer, tyrosine kinase inhibitors, propylthiouraacil, glucocorticoids, beta sympatholytics, amiodarone and iodine containing contrast media, sertraline, chloroquine/proguanil, oestrogens, soy-containing compounds","Angina, heart failure; diabetes mellitus; diabetes insipidus; elderly; long-standing hypothyroidism; adrenal insufficiency; myxoedema. Do not use for treatment of obesity or for weight loss. Pregnancy, lactation",FALSE,
Lignocaine (Lidocaine) 2% Intramuscular/ Subcutaneous Injection,Nervous System > Anesthetics,N01BB02-110-P30-01-XXX,Yes,APPL,B,For local or regional anaesthesia and nerve block. Not for IV use.,B,Local anesthesia: ADULT Maximum: 100 mg; CHILD Maximum: 3 mg/kg,"Nervousness, dizziness, sedation, blurred vision, tinnitus, gastrointestinal effects, dose-related methaemoglobinaemia and cyanosis. Restlessness, excitement, nervousness, paraesthesia, vomiting, muscle twitching and tremors, convulsions. Numbness of tongue and perioral region, light headedness, sedation, CNS depression, respiratory failure and coma. Arrhythmias, bradycardia, cardiac arrest, anaphylaxis. Lassitude, amnesia, foetal intoxication","Local inflammation and/or sepsis, septicaemia. Hypovolaemia, heart block and other conduction disturbances, bradycardia, cardiac decompensation or hypotension","Potentiation of cardiac effects antiarrhythmias, phenytoin, beta-blockers, cimetidine","Neurological disorder, severe bradycardia, cardiac conduction abnormalities, pregnancy, congestive heart failure, respiratory depression, hepatic or renal insufficiency, epilepsy, shock, myasthenia gravis. Elderly. Pregnancy and lactation",FALSE,
Lignocaine (Lidocaine) 2% Jelly,Nervous System > Anesthetics,N01BB02-110-G40-01-XXX,No,APPL,B,"Use for endotracheal tubes and instruments, painful procedures in the ear, nose and throat, burns, wounds, abrasions, lacerations; catheterisation of the male and female urethra and for symptomatic treatment of cystitis and urethritis",,Apply to affected area 10 mins before catheterization.,"Allergic reactions. Intoxication, cutaneous and hypersensitivity symptoms. Sore throat. Central nervous system excitation followed by depression with drowsiness, respiratory failure and coma, numbness of tongue and perioral region, myocardial depression, peripheral vasodilation, hypotension, bradycardia, arrhythmia, cardiac arrest. Prolonged use in the eye may lead to severe contact keratitis and corneal damage","Hypersensitivity to lidocaine or amide type of local anaesthetics. Hypovolaemia, heart block or other conduction disturbances",Potentiation of cardiac effects antiarrhythmias. Drugs structurally related to local anaesthesia,"Traumatised mucosa and sepsis in the region of application, chronic heart failure, bradycardia or respiratory depression, hepatic insufficiency. Should not be used as ophthalmic drug. Presence of sepsis or severely traumatized mucosa in area of application. When used for endotracheal tube lubrication, avoid introducing into the lumen of the tube. Closely supervise patients being treated with class III antiarrhythmic drugs eg amiodarone and monitor ECG due to the additive effects",FALSE,
Losartan 100 mg Tablet,Cardiovascular System > Agents Acting on the Renin-angiotensin System,C09CA01-500-T10-02-XXX,Yes,Government Contract,B,Patients intolerant to ACE inhibitors in: i) Hypertensive patient with left ventricular hypertrophy ii) Type 2 Diabetes Mellitus with chronic kidney disease iii) Hypertension,-,"i), ii) & iii) Initial: 50mg once daily Max: 100mg once daily Dosing is individualised and according to product insert / protocol.","Angioedema, headache, dizziness, cough NPRA Safety Alert 1. 28 May 2024 Intestinal Angioedema","Hypersensitivity to losartan, pregnancy","Fluconazole, lithium, rifampicin","Angioedema: intravascular volume depletion (eg those treated with high-dose diuretics), electrolyte imbalance: lower dose should be considered for patients with a history of hepatic impairment, changes in renal function including renal failure may occur in susceptible individuals. Blood urea and serum creatinine may be increased in patients with bilateral renal artery stenosis or stenosis of the artery to a solitary kidney, lactation, children NPRA Safety Alert 1. 28 May 2024 Intestinal Angioedema",FALSE,
Losartan 50mg Tablet,Cardiovascular System > Agents Acting on the Renin-angiotensin System,C09CA01-500-T10-01-XXX,Yes,Government Contract,B,Patients intolerant to ACE inhibitors in: i) Hypertensive patient with left ventricular hypertrophy ii) Type 2 Diabetes Mellitus with chronic kidney disease iii) Hypertension,-,"i), ii) & iii) Initial: 50mg once daily Max: 100mg once daily Dosing is individualised and according to product insert / protocol.","Angioedema, headache, dizziness, cough NPRA Safety Alert 1. 28 May 2025 Intestinal Angioedema","Hypersensitivity to losartan, pregnancy","Fluconazole, lithium, rifampicin","Angioedema: intravascular volume depletion (eg those treated with high-dose diuretics), electrolyte imbalance: lower dose should be considered for patients with a history of hepatic impairment, changes in renal function including renal failure may occur in susceptible individuals. Blood urea and serum creatinine may be increased in patients with bilateral renal artery stenosis or stenosis of the artery to a solitary kidney, lactation, children NPRA Safety Alert 1. 28 May 2025 Intestinal Angioedema",FALSE,
